Movie ID,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metacritic Rating,IMDb Rating,IMDb Votes,IMDb ID
The Initiation of Sarah-1978,The Initiation of Sarah,1978,Not Rated,96 min,"Horror, Thriller",Robert Day,"Don Ingalls (teleplay), Carol Saraceno (teleplay), Kenette Gfeller (teleplay), Tom Holland (story), Carol Saraceno (story)","Kay Lenz, Shelley Winters, Tony Bill, Kathryn Grant","A withdrawn young girl joins an unpopular sorority in college. It turns out she has psychic and telekinetic powers, and she uses them against a rival sorority.",English,USA,N/A,N/A,5.9,663,tt0077735
The In-Laws-1979,The In-Laws,1979,PG,103 min,"Action, Adventure, Comedy, Crime, Thriller",Arthur Hiller,Andrew Bergman,"Peter Falk, Alan Arkin, Richard Libertini, Nancy Dussault","On the eve of their children's marriage, NYC in-laws Sheldon Kornpett and Vince Ricardo embark on a series of misadventures involving the CIA, the Treasury Department and Central American dictators.","English, Spanish, Mandarin",USA,N/A,N/A,7.3,"7,057",tt0079336
Insomnia-1997,Insomnia,1997,Not Rated,96 min,"Crime, Mystery, Thriller",Erik Skjoldbjærg,"Nikolaj Frobenius (screenplay), Erik Skjoldbjærg (screenplay)","Maria Mathiesen, Stellan Skarsgård, Sverre Anker Ousdal, Gisken Armand","In a Norwegian city with a 24-hour daylight cycle a Swedish murder investigator has been brought in on a special case. Sleep deprived, he makes a horrible mistake which is discovered by the killer he has been hunting.","Norwegian, Swedish",Norway,2 nominations.,N/A,7.3,"12,370",tt0119375
Intermezzo-1936,Intermezzo,1936,APPROVED,86 min,"Drama, Romance",Gustaf Molander,"Gösta Stevens, Gustaf Molander","Gösta Ekman, Inga Tidblad, Ingrid Bergman, Erik 'Bullen' Berglund","The world famous violinist Holger Brandt comes back to his family after a tour. He and his wife have been married for many years, but their love has gone. Their young daughter gets a new ...","Swedish, German",Sweden,N/A,N/A,6.8,815,tt0027796
Interview-2003,Interview,2003,Not Rated,90 min,Drama,Theo van Gogh,"Theodor Holman (screenplay), Hans Teeuwen (idea)","Katja Schuurman, Pierre Bokma, Theo Maassen, Ellen Ten Damme","Renowned journalist Pierre has to interview the most famous Dutch actress, Katja Schuurman, against his wishes.",Dutch,Netherlands,1 nomination.,N/A,7.0,"1,452",tt0360674
Invaders from Mars-1953,Invaders from Mars,1953,Approved,78 min,"Horror, Sci-Fi",William Cameron Menzies,Richard Blake (screenplay),"Helena Carter, Arthur Franz, Jimmy Hunt, Leif Erickson",A young boy learns that space aliens are taking over the minds of earthlings.,English,USA,1 nomination.,N/A,6.4,"6,624",tt0045917
Invasion of the Body Snatchers-1956,Invasion of the Body Snatchers,1956,Not Rated,80 min,"Drama, Horror, Sci-Fi",Don Siegel,"Daniel Mainwaring (screenplay), Jack Finney (Collier's magazine serial)","Kevin McCarthy, Dana Wynter, Larry Gates, King Donovan",A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,English,USA,2 wins.,92,7.7,"42,068",tt0049366
Irma la Douce-1963,Irma la Douce,1963,Not Rated,147 min,"Comedy, Romance",Billy Wilder,"Alexandre Breffort (play), Billy Wilder, I.A.L. Diamond","Jack Lemmon, Shirley MacLaine, Lou Jacobi, Bruce Yarnell","In Paris, a former policeman falls in love with a prostitute, and tries to get her out of that life by paying for all of her time.",English,USA,Won 1 Oscar. Another 5 wins & 7 nominations.,N/A,7.4,"15,579",tt0057187
Rashomon-1950,Rashomon,1950,Not Rated,88 min,"Crime, Drama, Mystery",Akira Kurosawa,"Ryûnosuke Akutagawa (stories), Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay)","Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Japanese,Japan,Nominated for 1 Oscar. Another 9 wins & 4 nominations.,98,8.2,"140,111",tt0042876
The Italian Job-1969,The Italian Job,1969,G,99 min,"Action, Comedy, Crime, Thriller",Peter Collinson,Troy Kennedy-Martin,"Michael Caine, Noël Coward, Benny Hill, Raf Vallone",Comic caper movie about a plan to steal a gold shipment from the streets of Turin by creating a traffic jam.,"English, Italian",UK,N/A,70,7.3,"38,434",tt0064505
