Movie ID,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metacritic Rating,IMDb Rating,IMDb Votes,IMDb ID
Le Corbeau-1943,Le Corbeau,1943,Not Rated,92 min,"Crime, Drama, Mystery, Thriller",Henri-Georges Clouzot,"Louis Chavance (scenario), Henri-Georges Clouzot (adaptation), Louis Chavance (adaptation)","Pierre Fresnay, Ginette Leclerc, Micheline Francey, Héléna Manson","French village doctor becomes target of poison-pen letters sent to village leaders, accusing him of affairs and practicing abortion.",French,France,N/A,N/A,7.8,"7,674",tt0035753
One Hundred and One Dalmatians-1961,One Hundred and One Dalmatians,1961,G,79 min,"Animation, Adventure, Comedy, Family","Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman","Bill Peet (story), Dodie Smith (novel)","Rod Taylor, J. Pat O'Malley, Betty Lou Gerson, Martha Wentworth","When a litter of Dalmatian puppies are abducted by the minions of Cruella de Vil, the parents must find them before she uses them for a diabolical fashion statement.",English,USA,Won 1 BAFTA Film Award. Another 2 nominations.,83,7.2,"142,614",tt0055254
Two Thousand Maniacs!-1964,Two Thousand Maniacs!,1964,Not Rated,83 min,Horror,Herschell Gordon Lewis,Herschell Gordon Lewis (screenplay),"Connie Mason, William Kerwin, Jeffrey Allen, Shelby Livingston",Six people are lured into a small Deep South town for a Centennial celebration where the residents proceed to kill them one by one as revenge for the town's destruction during the Civil War.,English,USA,1 nomination.,N/A,5.9,"3,870",tt0058694
The Three Godfathers-1916,The Three Godfathers,1916,N/A,N/A,Western,Edward LeSaint,"Harvey Gates (scenario), Peter B. Kyne (novel), Edward LeSaint (scenario)","Stella LeSaint, Harry Carey, George Berrell, Joe Rickson","Three outlaws fleeing a posse through the desert come upon a dying woman and her baby in a wagon. Before she passes away, she makes the men promise to take care of her baby and get it safely through the desert.",English,USA,N/A,N/A,6.9,16,tt0007453
3 Idiots-2009,3 Idiots,2009,PG-13,170 min,"Comedy, Drama",Rajkumar Hirani,"Rajkumar Hirani (screenplay), Abhijat Joshi (screenplay), Vidhu Vinod Chopra (screenplay associate), Abhijat Joshi (story), Chetan Bhagat (novel)","Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Hindi, English",India,26 wins & 13 nominations.,67,8.4,"312,158",tt1187043
3:10 to Yuma-1957,3:10 to Yuma,1957,Not Rated,92 min,"Drama, Thriller, Western",Delmer Daves,"Halsted Welles (screenplay), Elmore Leonard (story)","Glenn Ford, Van Heflin, Felicia Farr, Leora Dana",Broke small-time rancher Dan Evans is hired by the stagecoach line to put big-time captured outlaw leader Ben Wade on the 3:10 train to Yuma but Wade's gang tries to free him.,English,USA,Nominated for 1 BAFTA Film Award. Another 1 win & 2 nominations.,N/A,7.6,"16,986",tt0050086
The General-1926,The General,1926,Passed,67 min,"Action, Adventure, Comedy, Drama, War, Western","Clyde Bruckman, Buster Keaton","Buster Keaton, Clyde Bruckman, Al Boasberg (adapted by), Charles Henry Smith (adapted by)","Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",English,USA,2 wins & 1 nomination.,N/A,8.1,"74,198",tt0017925
Free and Easy-1930,Free and Easy,1930,APPROVED,92 min,"Comedy, Musical",Edward Sedgwick,"Richard Schayer (scenario), Paul Dickey (adaptation), Al Boasberg (dialogue)","Buster Keaton, Anita Page, Trixie Friganza, Robert Montgomery",A bumbling manager tries to get a small town beauty contest winner into the movies.,"English, German",USA,N/A,N/A,5.6,765,tt0020902
Adventures in Babysitting-1987,Adventures in Babysitting,1987,PG-13,102 min,"Adventure, Comedy, Crime, Romance",Chris Columbus,David Simkins,"Elisabeth Shue, Maia Brewton, Keith Coogan, Anthony Rapp",A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.,English,USA,2 wins & 4 nominations.,45,6.9,"34,813",tt0092513
Love Affair-1939,Love Affair,1939,Approved,88 min,"Comedy, Drama, Romance",Leo McCarey,"Delmer Daves (screen play), Donald Ogden Stewart (screen play), Mildred Cram (story), Leo McCarey (story)","Irene Dunne, Charles Boyer, Maria Ouspenskaya, Lee Bowman","A French playboy and an American former nightclub singer fall in love aboard a ship. They arrange to reunite six months later, after he has had a chance to earn a decent living.","English, French",USA,N/A,N/A,7.3,"4,007",tt0031593
Out of the Past-1947,Out of the Past,1947,Not Rated,97 min,"Crime, Drama, Film-Noir, Romance, Thriller",Jacques Tourneur,"Daniel Mainwaring (screenplay), Daniel Mainwaring (novel)","Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming","A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.","English, American Sign Language",USA,1 win.,N/A,8.0,"29,976",tt0039689
Zero Hour!-1957,Zero Hour!,1957,Passed,81 min,"Action, Adventure, Drama, Romance, Thriller",Hall Bartlett,"Arthur Hailey (screenplay), Hall Bartlett (screenplay), John C. Champion (screenplay), Arthur Hailey (teleplay ""Flight Into Danger"")","Dana Andrews, Linda Darnell, Sterling Hayden, Elroy 'Crazylegs' Hirsch","In 1950s Canada, during a commercial flight, the pilots and some passengers suffer food poisoning, thus forcing an ex-WW2 fighter pilot to try to land the airliner in heavy fog.",English,USA,N/A,N/A,6.6,"1,295",tt0051221
Aladdin-1992,Aladdin,1992,G,90 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","Ron Clements, John Musker","Ron Clements (screenplay by), John Musker (screenplay by), Ted Elliott (screenplay by), Terry Rossio (screenplay by), Burny Mattinson (story), Roger Allers (story), Daan Jippes (story), Kevin Harkey (story), Sue C. Nichols (story), Francis Glebas (story), Darrell Rooney (story), Larry Leker (story), James Fujii (story), Kirk Hanson (story), Kevin Lima (story), Rebecca Rees (story), David S. Smith (story), Chris Sanders (story), Brian Pimental (story), Patrick A. Ventura (story)","Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,English,USA,Won 2 Oscars. Another 31 wins & 22 nominations.,86,8.0,"342,828",tt0103639
Alfie-1966,Alfie,1966,PG,114 min,"Comedy, Drama",Lewis Gilbert,"Bill Naughton (screenplay), Bill Naughton (based on the play: ""Alfie"")","Michael Caine, Shelley Winters, Millicent Martin, Julia Foster",An unrepentant ladies' man gradually begins to understand the consequences of his lifestyle.,English,UK,Nominated for 5 Oscars. Another 7 wins & 17 nominations.,N/A,7.1,"12,700",tt0060086
Pépé le Moko-1937,Pépé le Moko,1937,Not Rated,94 min,"Crime, Drama, Romance",Julien Duvivier,"Henri La Barthe (novel), Henri La Barthe (scenario), Julien Duvivier (scenario), Jacques Constant (adaptation), Henri Jeanson (dialogue)","Jean Gabin, Gabriel Gabrio, Saturnin Fabre, Fernand Charpin","A wanted gangster is both king and prisoner of the Casbah. He is protected from arrest by his friends, but is torn by his desire for freedom outside. A visiting Parisian beauty may just tempt his fate.","French, Arabic",France,2 wins.,98,7.7,"5,842",tt0029453
All Quiet on the Western Front-1930,All Quiet on the Western Front,1930,Not Rated,136 min,"Drama, War",Lewis Milestone,"Erich Maria Remarque (by), Maxwell Anderson (adaptation), George Abbott (screen play), Del Andrews (adaptation), C. Gardner Sullivan (supervising story chief)","Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy",A young soldier faces profound disillusionment in the soul-destroying horror of World War I.,"English, French, German, Latin",USA,Won 2 Oscars. Another 5 wins & 2 nominations.,91,8.0,"54,475",tt0020629
A Guy Named Joe-1943,A Guy Named Joe,1943,PASSED,120 min,"Drama, Romance, War",Victor Fleming,"Chandler Sprague (story), David Boehm (story), Frederick Hazlitt Brennan (adaptation), Dalton Trumbo (screenplay)","Spencer Tracy, Irene Dunne, Van Johnson, Ward Bond","A dead World War II bomber pilot named Pete Sandidge, becomes the guardian angel of another pilot, Ted Randall. He guides Ted through battle and helping him to romance his old girlfriend, despite her excessive devotion to Sandidge's memory.",English,USA,N/A,N/A,7.0,"1,755",tt0035959
The Amityville Horror-1979,The Amityville Horror,1979,R,117 min,Horror,Stuart Rosenberg,"Sandor Stern (screenplay), Jay Anson (based on the book by)","James Brolin, Margot Kidder, Rod Steiger, Don Stroud","Newlyweds move into a large house where a mass murder was committed, and experience strange manifestations which drive them away.",English,USA,Nominated for 1 Oscar. Another 7 nominations.,28,6.2,"33,272",tt0078767
Love-1927,Love,1927,Passed,82 min,"Drama, Romance","Edmund Goulding, John Gilbert","Leo Tolstoy (from the novel ""Anna Karenina""), Frances Marion (continuity by), Marian Ainslee (titles), Ruth Cummings (titles)","John Gilbert, Greta Garbo, George Fawcett, Emily Fitzroy",A married woman compromises her social standing and family life when she falls for a young officer.,N/A,USA,N/A,N/A,7.4,806,tt0018107
And Soon the Darkness-1970,And Soon the Darkness,1970,PG,94 min,"Horror, Mystery, Thriller",Robert Fuest,"Brian Clemens (original story), Terry Nation (original story), Brian Clemens (screenplay), Terry Nation (screenplay)","Pamela Franklin, Michele Dotrice, Sandor Elès, John Nettleton","Two young English women go on a cycling tour of the French countryside. When one of them goes missing, the other begins to search for her. But who can she trust?","English, French","UK, France",N/A,N/A,6.6,"2,548",tt0065398
Angels in the Outfield-1951,Angels in the Outfield,1951,Approved,99 min,"Comedy, Family, Fantasy, Sport",Clarence Brown,"Richard Conlin (story), Dorothy Kingsley (screenplay), George Wells (screenplay)","Paul Douglas, Janet Leigh, Keenan Wynn, Donna Corcoran","A young woman reporter blames the Pittsburgh Pirates' losing streak on the obscenely abusive manager. While she attempts to learn more about him for her column, he begins hearing the voice ...",English,USA,1 nomination.,N/A,7.1,"1,854",tt0043286
Angel on My Shoulder-1946,Angel on My Shoulder,1946,APPROVED,100 min,"Adventure, Comedy, Fantasy, Romance",Archie Mayo,"Harry Segall (original story), Harry Segall (screenplay), Roland Kibbee (screenplay)","Paul Muni, Anne Baxter, Claude Rains, Onslow Stevens",The Devil arranges for a deceased gangster to return to Earth as a well-respected judge to make up for his previous life.,English,USA,N/A,N/A,6.9,"2,057",tt0038300
Annie-1982,Annie,1982,PG,127 min,"Comedy, Drama, Family, Musical",John Huston,"Carol Sobieski (screenplay), Thomas Meehan (book), Martin Charnin (play)","Albert Finney, Carol Burnett, Ann Reinking, Tim Curry",A young orphan girl's adventures in finding a family that will take her.,English,USA,Nominated for 2 Oscars. Another 2 wins & 11 nominations.,39,6.6,"37,497",tt0083564
Thirupaachi-2005,Thirupaachi,2005,N/A,178 min,"Action, Thriller",Perarasu,"Perarasu (screenplay), Perarasu (story)","Joseph Vijay, Trisha Krishnan, Srinivasa Rao Kota, Manoj K. Jayan",When giri marry's her sister to a man in chennai and comes to visit the city his friend his brutally murdered by gangsters. He decides to murder the three gangsters ruling chennai to make the city a better place.,Tamil,India,N/A,N/A,5.8,"2,366",tt0475756
Antropophagus-1980,Antropophagus,1980,R,92 min,Horror,Joe D'Amato,"George Eastman (story), Joe D'Amato (story), George Eastman (screenplay)","Tisa Farrow, Saverio Vallone, Serena Grandi, Margaret Mazzantini","A group of tourists become stranded on an uninhabited island where they are stalked by an insane, violent, and grotesque killer that slaughtered the town's former residents.","Italian, German",Italy,N/A,N/A,5.4,"4,948",tt0082479
All About Eve-1950,All About Eve,1950,Passed,138 min,Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz (written for the screen by),"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,"English, French",USA,Won 6 Oscars. Another 17 wins & 18 nominations.,98,8.2,"112,548",tt0042192
April Fool's Day-1986,April Fool's Day,1986,R,89 min,"Horror, Mystery",Fred Walton,Danilo Bach,"Jay Baker, Pat Barlow, Lloyd Berry, Deborah Foreman",Nine college students staying at a friend's remote island mansion begin to fall victim to an unseen murderer over the April Fool's Day weekend.,English,"USA, Canada",N/A,49,6.2,"13,029",tt0090655
The Arena-1974,The Arena,1974,R,83 min,"Action, Adventure",Steve Carver,"John William Corrington, Joyce Hooper Corrington","Margaret Markov, Pam Grier, Lucretia Love, Paul Muller","In ancient Rome audiences have grown tired of viewing gladiators fight to the death. Something new is needed--women. (Josiah Howard, ""Blaxploitation cinema: The Essential Reference Guide."")",English,"Italy, USA",N/A,N/A,5.3,"1,084",tt0069729
Arthur-1981,Arthur,1981,PG,97 min,"Comedy, Romance",Steve Gordon,Steve Gordon,"Dudley Moore, Liza Minnelli, John Gielgud, Geraldine Fitzgerald","Arthur spends his time with booze and whores. His dad has a wife lined up for him that he keeps rejecting - until it's her or being cut off from $750,000,000. Then he goes shopping where he falls in love with a shoplifter.",English,USA,Won 2 Oscars. Another 9 wins & 6 nominations.,69,6.9,"24,410",tt0082031
Assault on Precinct 13-1976,Assault on Precinct 13,1976,R,91 min,"Action, Crime, Thriller",John Carpenter,John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West","An unlikely partnership between a Highway Patrol Officer, two criminals and a station secretary is formed to defend a defunct Los Angeles precinct office against a siege by a bloodthirsty street gang.",English,USA,1 nomination.,89,7.4,"40,534",tt0074156
Attack of the 50 Foot Woman-1958,Attack of the 50 Foot Woman,1958,Not Rated,65 min,"Horror, Sci-Fi",Nathan Juran,Mark Hanna,"Allison Hayes, William Hudson, Yvette Vickers, Roy Gordon","When an abused socialite grows to giant size because of an alien encounter and an aborted murder attempt, she goes after her cheating husband with revenge on her mind.",English,USA,N/A,N/A,5.1,"4,384",tt0051380
Seven Chances-1925,Seven Chances,1925,Passed,56 min,"Comedy, Romance",Buster Keaton,"Roi Cooper Megrue (adapted from David Belasco's famous comedy by), Clyde Bruckman (screen version), Jean C. Havez (screen version), Joseph A. Mitchell (screen version)","Buster Keaton, T. Roy Barnes, Snitz Edwards, Ruth Dwyer",A man learns he will inherit a fortune if he marries by 7 p.m. that same day.,English,USA,1 win & 1 nomination.,N/A,8.0,"8,143",tt0016332
Back Street-1932,Back Street,1932,N/A,93 min,Drama,John M. Stahl,"Fannie Hurst (novel), Gladys Lehman","Irene Dunne, John Boles, June Clyde, George Meeker","A woman's love for and devotion to a married man results in her being relegated to the ""back streets"" of his life.",English,USA,N/A,N/A,7.2,372,tt0022651
The Bad News Bears-1976,The Bad News Bears,1976,PG,102 min,"Comedy, Drama, Family, Sport",Michael Ritchie,Bill Lancaster,"Walter Matthau, Tatum O'Neal, Vic Morrow, Joyce Van Patten","An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.","English, Spanish",USA,Nominated for 1 BAFTA Film Award. Another 1 win.,83,7.3,"19,018",tt0074174
The Ballad of Narayama-1958,The Ballad of Narayama,1958,Not Rated,98 min,Drama,Keisuke Kinoshita,"Shichirô Fukazawa (stories), Keisuke Kinoshita","Kinuyo Tanaka, Teiji Takahashi, Yûko Mochizuki, Danko Ichikawa",A kabuki theatre-inflected story about a poor village whose people have to be carried to a nearby mountain to die once they get old.,Japanese,Japan,6 wins & 1 nomination.,N/A,8.0,"2,461",tt0051980
The Bad Seed-1956,The Bad Seed,1956,Approved,129 min,"Crime, Drama, Horror, Mystery, Thriller",Mervyn LeRoy,"John Lee Mahin (screenplay), Maxwell Anderson (play), William March (novel)","Nancy Kelly, Patty McCormack, Henry Jones, Eileen Heckart",A housewife suspects that her seemingly perfect eight-year-old daughter is a heartless killer.,English,USA,Nominated for 4 Oscars. Another 1 win & 1 nomination.,51,7.5,"11,972",tt0048977
Casablanca-1942,Casablanca,1942,PG,102 min,"Drama, Romance, War",Michael Curtiz,"Julius J. Epstein (screenplay), Philip G. Epstein (screenplay), Howard Koch (screenplay), Murray Burnett (play), Joan Alison (play)","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,"English, French, German, Italian",USA,Won 3 Oscars. Another 5 wins & 9 nominations.,100,8.5,"489,285",tt0034583
The Battle of the Sexes-1914,The Battle of the Sexes,1914,N/A,50 min,Drama,D.W. Griffith,Daniel Carson Goodman (novel),"Donald Crisp, Lillian Gish, Robert Harron, Mary Alden",N/A,English,USA,N/A,N/A,6.1,34,tt0003665
Seven Samurai-1954,Seven Samurai,1954,Not Rated,207 min,"Action, Adventure, Drama",Akira Kurosawa,"Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay), Hideo Oguni (screenplay)","Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Japanese,Japan,Nominated for 2 Oscars. Another 5 wins & 6 nominations.,98,8.6,"293,615",tt0047478
Fingers-1978,Fingers,1978,R,90 min,"Crime, Drama, Music",James Toback,James Toback,"Harvey Keitel, Tisa Farrow, Jim Brown, Michael V. Gazzo",A dysfunctional young man is pulled between loyalties to his Italian mob-connected loan shark father and his mentally disturbed Jewish concert pianist mother.,English,USA,N/A,N/A,6.9,"2,117",tt0077549
Beau Geste-1926,Beau Geste,1926,N/A,101 min,"Action, Adventure, Drama",Herbert Brenon,"Herbert Brenon (adaptation), John Russell (adaptation), Paul Schofield, Percival Christopher Wren (novel)","Ronald Colman, Neil Hamilton, Ralph Forbes, Alice Joyce","Michael ""Beau"" Geste leaves England in disgrace and joins the infamous French Foreign Legion. He is reunited with his two brothers in North Africa, where they face greater danger from their...",English,USA,1 win.,N/A,7.1,229,tt0016634
Beauty and the Beast-1991,Beauty and the Beast,1991,G,84 min,"Animation, Family, Fantasy, Musical, Romance","Gary Trousdale, Kirk Wise","Linda Woolverton (animation screenplay by), Brenda Chapman (story by), Chris Sanders (story by), Burny Mattinson (story by), Kevin Harkey (story by), Brian Pimental (story by), Bruce Woodside (story by), Joe Ranft (story by), Tom Ellery (story by), Kelly Asbury (story by), Robert Lence (story by)","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"English, French",USA,Won 2 Oscars. Another 27 wins & 34 nominations.,95,8.0,"399,622",tt0101414
Bedazzled-1967,Bedazzled,1967,Approved,103 min,"Comedy, Fantasy, Romance",Stanley Donen,"Peter Cook (screenplay), Peter Cook (story), Dudley Moore (story)","Peter Cook, Dudley Moore, Eleanor Bron, Raquel Welch","A hapless loser sells his soul to the Devil in exchange for seven wishes, but has trouble winning over the girl of his dreams.",English,UK,N/A,N/A,6.9,"7,922",tt0061391
The Beguiled-1971,The Beguiled,1971,R,105 min,"Drama, Thriller, War",Don Siegel,"Albert Maltz (screenplay), Irene Kamp (screenplay), Thomas Cullinan (from the novel by)","Clint Eastwood, Geraldine Page, Elizabeth Hartman, Jo Ann Harris","While imprisoned in a Confederate girls' boarding school, an injured Union soldier cons his way into each of the lonely women's hearts, causing them to turn on each other, and eventually, on him.","English, French",USA,N/A,66,7.2,"14,552",tt0066819
Ben-Hur: A Tale of the Christ-1925,Ben-Hur: A Tale of the Christ,1925,Not Rated,143 min,"Adventure, Drama, Romance","Fred Niblo, Charles Brabin, Christy Cabanne, J.J. Cohn, Rex Ingram","Lew Wallace (novel), June Mathis (adaptation), Carey Wilson (scenario), Katherine Hilliker (titles), H.H. Caldwell (titles)","Ramon Novarro, Francis X. Bushman, May McAvoy, Betty Bronson",A Jewish prince seeks to find his family and revenge himself upon his childhood friend who had him wrongly imprisoned.,English,USA,1 win.,N/A,7.8,"6,920",tt0016641
Beyond a Reasonable Doubt-1956,Beyond a Reasonable Doubt,1956,Not Rated,80 min,"Crime, Drama, Film-Noir",Fritz Lang,Douglas Morrow (story and screenplay),"Dana Andrews, Joan Fontaine, Sidney Blackmer, Arthur Franz",A novelist aided by his future father-in-law conspires to frame himself in the murder of a stripper as part of an effort to ban capital punishment.,English,USA,N/A,N/A,7.0,"4,053",tt0049006
House of Strangers-1949,House of Strangers,1949,Approved,101 min,"Crime, Drama, Film-Noir, Thriller",Joseph L. Mankiewicz,"Philip Yordan (screenplay), Jerome Weidman (novel)","Edward G. Robinson, Susan Hayward, Richard Conte, Luther Adler","After years in prison, Max promises revenge on his brothers for their betrayal. His lover Irene and memories of his past yield him a broader perspective.","English, Italian",USA,1 win & 1 nomination.,N/A,7.4,"2,662",tt0041487
The Big Sleep-1946,The Big Sleep,1946,Not Rated,114 min,"Crime, Film-Noir, Mystery, Thriller",Howard Hawks,"William Faulkner (screen play), Leigh Brackett (screen play), Jules Furthman (screen play), Raymond Chandler (short story ""Killer in the Rain"")","Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers","Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",English,USA,2 wins.,N/A,7.9,"75,068",tt0038355
La Cage aux Folles-1978,La Cage aux Folles,1978,R,97 min,Comedy,Édouard Molinaro,"Jean Poiret (play), Francis Veber (screenplay), Édouard Molinaro (screenplay), Marcello Danon (screenplay), Jean Poiret (screenplay)","Ugo Tognazzi, Michel Serrault, Claire Maurier, Rémi Laurent",Two gay men living in St. Tropez have their lives turned upside down when the son of one of the men announces he is getting married. They try to conceal their lifestyle and their ownership ...,French,"France, Italy",Nominated for 3 Oscars. Another 5 wins & 2 nominations.,N/A,7.3,"9,087",tt0077288
Washington Merry-Go-Round-1932,Washington Merry-Go-Round,1932,TV-G,79 min,Drama,James Cruze,"Jo Swerling (screen play), Maxwell Anderson (story)","Lee Tracy, Constance Cummings, Walter Connolly, Alan Dinehart","Button Gwinett Brown is a freshman congressman on a mission to rid Washington of corruption. He quickly runs afoul of the powerful Senator Norton, while falling for the granddaughter of the...",English,USA,N/A,N/A,6.5,103,tt0023673
Little Caesar-1931,Little Caesar,1931,Not Rated,79 min,"Action, Crime, Drama, Romance",Mervyn LeRoy,"W.R. Burnett (novel), Francis Edward Faragoh, Francis Edward Faragoh (dialogue)","Edward G. Robinson, Douglas Fairbanks Jr., Glenda Farrell, William Collier Jr.",A small-time criminal moves to a big city to seek bigger fortune.,English,USA,Nominated for 1 Oscar. Another 1 win.,N/A,7.3,"11,118",tt0021079
Black Christmas-1974,Black Christmas,1974,R,98 min,"Horror, Mystery, Thriller",Bob Clark,Roy Moore (screenplay),"Olivia Hussey, Keir Dullea, Margot Kidder, John Saxon","During their Christmas break, a group of sorority girls are stalked by a stranger.",English,Canada,2 wins & 2 nominations.,65,7.2,"29,449",tt0071222
The Blob-1958,The Blob,1958,Not Rated,86 min,"Horror, Sci-Fi","Irvin S. Yeaworth Jr., Russell S. Doughten Jr.","Theodore Simonson (screenplay), Kay Linaker (screenplay), Irvine H. Millgate (original idea)","Steve McQueen, Aneta Corsaut, Earl Rowe, Olin Howland",An alien lifeform consumes everything in its path as it grows and grows.,"English, Italian",USA,1 nomination.,N/A,6.4,"21,180",tt0051418
Blood Feast-1963,Blood Feast,1963,Not Rated,67 min,Horror,Herschell Gordon Lewis,Allison Louise Downe (screenplay),"William Kerwin, Mal Arnold, Connie Mason, Lyn Bolton","An Egyptian caterer kills various women in suburban Miami to use their body parts to bring to life a dormant Egyptian goddess, while an inept police detective tries to track him down.",English,USA,1 nomination.,N/A,5.1,"5,457",tt0056875
The Blue Angel-1930,The Blue Angel,1930,Not Rated,104 min,"Drama, Music",Josef von Sternberg,"Heinrich Mann (novel), Carl Zuckmayer, Karl Vollmöller, Robert Liebmann, Carl Winston (english dialogue)","Emil Jannings, Marlene Dietrich, Kurt Gerron, Rosa Valetti",An elderly professor's ordered life spins dangerously out of control when he falls for a nightclub singer.,"German, English, French",Germany,N/A,88,7.7,"12,801",tt0020697
The Blue Bird-1918,The Blue Bird,1918,N/A,75 min,Fantasy,Maurice Tourneur,"Maurice Maeterlinck (play), Charles Maigne (adapted for the screen by)","Tula Belle, Robin Macdougall, Edwin E. Reed, Emma Lowry","Two peasant children, Mytyl and Tyltyl, are led by Berylune, a fairy, to search for the Blue Bird of Happiness. Berylune gives Tyltyl a cap with a diamond setting, and when Tyltyl turns the...",English,USA,1 win.,N/A,6.9,616,tt0008891
Born Yesterday-1950,Born Yesterday,1950,Not Rated,103 min,"Comedy, Drama, Romance",George Cukor,"Garson Kanin (play), Albert Mannheimer (screenplay)","Judy Holliday, Broderick Crawford, William Holden, Howard St. John","A tycoon hires a tutor to teach his lover proper etiquette, with unexpected results.",English,USA,Won 1 Oscar. Another 3 wins & 10 nominations.,N/A,7.6,"9,318",tt0042276
Boudu Saved from Drowning-1932,Boudu Saved from Drowning,1932,Not Rated,85 min,Comedy,Jean Renoir,René Fauchois (play),"Michel Simon, Marcelle Hainia, Sévérine Lerczinska, Jean Gehret","A bookseller saves a tramp from drowning and shelters him, but the tramp's odd behavior starts to wear everyone down.",French,France,N/A,N/A,7.4,"4,795",tt0022718
In the Wake of the Bounty-1933,In the Wake of the Bounty,1933,N/A,66 min,"Action, Drama",Charles Chauvel,Charles Chauvel (scenario),"Arthur Greenaway, Mayne Lynton, Errol Flynn, Victor Gouriet",The true story of HMS Bounty. Plus documentary,English,Australia,N/A,N/A,4.9,227,tt0024176
Time to Kill-1942,Time to Kill,1942,N/A,61 min,"Film-Noir, Mystery",Herbert I. Leeds,"Clarence Upson Young (screenplay), Raymond Chandler (novel), Brett Halliday (character)","Lloyd Nolan, Heather Angel, Doris Merrick, Ralph Byrd","A private detective is hired to retrieve a valuable antique coin that was stolen from its owner by her son, who used it to pay off a blackmailer. The private eye soon finds himself up to ...",English,USA,N/A,N/A,7.0,104,tt0035443
Breathless-1960,Breathless,1960,Not Rated,90 min,"Crime, Drama",Jean-Luc Godard,François Truffaut (original scenario),"Jean Seberg, Jean-Paul Belmondo, Daniel Boulanger, Henri-Jacques Huet","A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.","French, English",France,Nominated for 1 BAFTA Film Award. Another 4 wins & 3 nominations.,N/A,7.9,"66,756",tt0053472
Brewster's Millions-1914,Brewster's Millions,1914,N/A,N/A,Comedy,"Oscar Apfel, Cecil B. DeMille","George Barr McCutcheon (novel), Winchell Smith (play), Byron Ongley (play)","Edward Abeles, Joseph Singleton, Sydney Deane, Miss Bartholomew","Robert Brewster, a scion of a well-to-do family, elopes with Louise Sedgewick. Peter Brewster disinherits Robert and refuses to be reconciled to the marriage, and later drives the young ...",English,USA,N/A,N/A,7.3,22,tt0003698
Bride Wars-2009,Bride Wars,2009,PG,89 min,"Comedy, Romance",Gary Winick,"Greg DePaul (screenplay), Casey Wilson (screenplay), June Diane Raphael (screenplay), Greg DePaul (story)","Kate Hudson, Anne Hathaway, Bryan Greenberg, Chris Pratt",Two best friends become rivals when they schedule their respective weddings on the same day.,English,USA,1 win & 8 nominations.,24,5.5,"96,509",tt0901476
Brian's Song-1971,Brian's Song,1971,G,73 min,"Biography, Drama, Sport",Buzz Kulik,"William Blinn, Gale Sayers (book), Al Silverman (book)","James Caan, Billy Dee Williams, Jack Warden, Bernie Casey",Based on the real-life relationship between teammates Brian Piccolo and Gale Sayers and the bond established when Piccolo discovers that he is dying.,English,USA,Nominated for 1 Golden Globe. Another 11 wins & 7 nominations.,62,7.6,"6,714",tt0068315
Broken Blossoms-1919,Broken Blossoms,1919,Not Rated,90 min,"Drama, Romance",D.W. Griffith,"Thomas Burke (adapted from 'The Chink and the Child' by), D.W. Griffith","Lillian Gish, Richard Barthelmess, Donald Crisp, Arthur Howard","A frail waif, abused by her brutal boxer father in London's seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences.",N/A,USA,1 win.,N/A,7.4,"8,822",tt0009968
