Movie ID,Original Title,Original Year,Original IMDb ID
Le Mariage a Deux Faces-1959,Le Mariage a Deux Faces,1959,
Into the Mirror-2003,Into the Mirror,2003,tt0372937
Miss Granny-2014,Miss Granny,2014,tt3516378
Le Père Noël est une ordure-1982,Le Père Noël est une ordure,1982,
The Sea Beast-1926,The Sea Beast,1926,tt0017354
Red Dust-1932,Red Dust,1932,tt0023382
Mr. Blandings Builds His Dream House-1948,Mr. Blandings Builds His Dream House,1948,tt0040613
The Magnificent Fraud-1939,The Magnificent Fraud,1939,tt0031604
The Monkey's Paw-1923,The Monkey's Paw,1923,tt0175924
Mother's Day-1980,Mother's Day,1980,tt0081186
My Favorite Wife-1940,My Favorite Wife,1940,tt0029284
Mr. Deeds Goes to Town-1936,Mr. Deeds Goes to Town,1936,tt0027996
No Man of Her Own-1950,No Man of Her Own,1950,tt0041694
The Mummy-1932,The Mummy,1932,tt0023245
Munna Bhai M.B.B.S.-2003,Munna Bhai M.B.B.S.,2003,tt0374887
Murder on the Orient Express-1974,Murder on the Orient Express,1974,tt0071877
The Music Man-1962,The Music Man,1962,tt0056262
My Bloody Valentine-1981,My Bloody Valentine,1981,tt0082782
My Cousin Rachel-1952,My Cousin Rachel,1952,tt0044937
Frontier Marshal-1934,Frontier Marshal,1934,tt0025144
Pygmalion-1938,Pygmalion,1938,tt0030637
"Mon père, ce héros-1991","Mon père, ce héros",1991,
My Man Godfrey-1936,My Man Godfrey,1936,tt0028010
The Mysterious Island-1929,The Mysterious Island,1929,tt0020198
Super Mario Bros-1993,Super Mario Bros,1993,
Autograph-2004,Autograph,2004,tt0411131
Dracula's Daughter-1936,Dracula's Daughter,1936,tt0027545
Thunderball-1965,Thunderball,1965,tt0059800
Anything for Her-2008,Anything for Her,2008,tt1217637
Night and the City-1950,Night and the City,1950,tt0042788
Night Must Fall-1937,Night Must Fall,1937,tt0029310
The Night of the Hunter-1955,The Night of the Hunter,1955,tt0048424
A Nightmare on Elm Street-1984,A Nightmare on Elm Street,1984,tt0087800
Night of the Demons-1988,Night of the Demons,1988,tt0093624
Night of the Living Dead-1968,Night of the Living Dead,1968,tt0063350
Nattevagten-1994,Nattevagten,1994,
Neuf mois-1994,Neuf mois,1994,tt0110646
Mostly Martha-2001,Mostly Martha,2001,tt0246772
Nosferatu-1922,Nosferatu,1922,tt0013442
The Big Clock-1948,The Big Clock,1948,tt0040160
Not of This Earth-1957,Not of This Earth,1957,tt0050778
Notorious-1946,Notorious,1946,tt0038787
Nueve Reinas-2000,Nueve Reinas,2000,
The Nutty Professor-1963,The Nutty Professor,1963,tt0057372
Ocean's 11-1960,Ocean's 11,1960,tt0054135
It Started with Eve-1941,It Started with Eve,1941,tt0033766
Of Human Bondage-1934,Of Human Bondage,1934,tt0025586
Of Mice and Men-1939,Of Mice and Men,1939,tt0031742
The Old Dark House-1932,The Old Dark House,1932,tt0023293
Oldboy-2003,Oldboy,2003,tt0364569
Oliver Twist-1922,Oliver Twist,1922,tt0013450
The Omen-1976,The Omen,1976,tt0075005
On the Beach-1959,On the Beach,1959,tt0053137
One Missed Call-Chakushin Ari,One Missed Call,Chakushin Ari,
One Sunday Afternoon-1933,One Sunday Afternoon,1933,tt0024414
The Prisoner of Shark Island-1936,The Prisoner of Shark Island,1936,tt0028141
Black Orpheus-1959,Black Orpheus,1959,tt0053146
La Sirène du Mississipi-1969,La Sirène du Mississipi,1969,
The Two Orphans-1915,The Two Orphans,1915,tt0006190
Oscar-1967,Oscar,1967,tt0062083
The Out-of-Towners-1970,The Out-of-Towners,1970,
Overboard-1987,Overboard,1987,tt0093693
A Yank at Oxford-1938,A Yank at Oxford,1938,tt0030989
Rendezvous-1935,Rendezvous,1935,tt0026922
Papillon-1973,Papillon,1973,tt0070511
Le grand chemin-1987,Le grand chemin,1987,
Twice Upon a Time-1953,Twice Upon a Time,1953,tt0046472
Le Dernier Tournant-1939,Le Dernier Tournant,1939,
Ofelas-1987,Ofelas,1987,
Shanghai Express-1932,Shanghai Express,1932,tt0023458
Dial M for Murder-1954,Dial M for Murder,1954,tt0046912
Pet Sematary-1989,Pet Sematary,1989,tt0098084
An American Tragedy-1931,An American Tragedy,1931,tt0021607
The Phantom Carriage-1921,The Phantom Carriage,1921,tt0012364
The Phantom of the Opera-1925,The Phantom of the Opera,1925,tt0016220
Picnic-1955,Picnic,1955,
Piranha-1978,Piranha,1978,tt0078087
Planet of the Apes-1968,Planet of the Apes,1968,tt0063442
The Plank-1967,The Plank,1967,tt0062133
Lady for a Day-1933,Lady for a Day,1933,tt0024240
Point Break-1991,Point Break,1991,tt0102685
La Femme Nikita-1990,La Femme Nikita,1990,tt0100263
Poltergeist-1982,Poltergeist,1982,tt0084516
Pokiri-2006,Pokiri,2006,tt0816258
The Poseidon Adventure-1972,The Poseidon Adventure,1972,tt0069113
The Bishop's Wife-1947,The Bishop's Wife,1947,tt0039190
Premonition-2004,Premonition,2004,tt0419280
Pride and Prejudice-1940,Pride and Prejudice,1940,tt0032943
Disraeli-1916,Disraeli,1916,tt0322038
The Prince and the Pauper-1920,The Prince and the Pauper,1920,tt0011604
The Prisoner of Zenda-1922,The Prisoner of Zenda,1922,tt0013515
The Producers-1968,The Producers,1968,
Prom Night-1980,Prom Night,1980,tt0081383
Psycho-1960,Psycho,1960,tt0054215
Kairo-2001,Kairo,2001,
REC-2007,REC,2007,tt1038988
The Rainmaker-1956,The Rainmaker,1956,tt0049653
Sholay-1975,Sholay,1975,tt0073707
Naadodigal-2009,Naadodigal,2009,tt1997455
Ransom!-1956,Ransom!,1956,tt0049656
The Razor's Edge-1946,The Razor's Edge,1946,tt0038873
Rear Window-1954,Rear Window,1954,tt0047396
Red Dawn-1984,Red Dawn,1984,tt0087985
Rebecca-1940,Rebecca,1940,tt0032976
The Red Badge of Courage-1951,The Red Badge of Courage,1951,tt0043961
Manhunter-1986,Manhunter,1986,tt0091474
Reefer Madness-1936,Reefer Madness,1936,tt0028346
Force Majeure-1989,Force Majeure,1989,
Yonggary-1967,Yonggary,1967,
Old Acquaintance-1943,Old Acquaintance,1943,tt0036230
Broadway Bill-1934,Broadway Bill,1934,tt0024916
Ringu-1998,Ringu,1998,tt0178868
Rio Bravo-1959,Rio Bravo,1959,tt0053221
Robin Hood-1922,Robin Hood,1922,tt0013556
RoboCop-1987,RoboCop,1987,tt0093870
The Miracle of Morgan's Creek-1944,The Miracle of Morgan's Creek,1944,
Rollerball-1975,Rollerball,1975,tt0073631
Man Hunt-1941,Man Hunt,1941,tt0033873
The Roman Spring of Mrs. Stone-1961,The Roman Spring of Mrs. Stone,1961,tt0055382
Single White Female-1992,Single White Female,1992,tt0105414
The Most Dangerous Game-1932,The Most Dangerous Game,1932,tt0023238
Runaway Daughters-1956,Runaway Daughters,1956,tt0049697
Sabrina-1954,Sabrina,1954,tt0047437
The Thirteen-1937,The Thirteen,1937,tt0028413
Satan's School for Girls-1973,Satan's School for Girls,1973,tt0070633
Saturday's Children-1929,Saturday's Children,1929,tt0020365
Scandal Makers-2008,Scandal Makers,2008,tt1360795
The Scapegoat-1959,The Scapegoat,1959,tt0053247
The Ghost Breakers-1940,The Ghost Breakers,1940,tt0032520
Scarface-1932,Scarface,1932,tt0023427
Profumo di donna-1974,Profumo di donna,1974,
School for Scoundrels-1960,School for Scoundrels,1960,tt0054279
Séance on a Wet Afternoon-1964,Séance on a Wet Afternoon,1964,
The Sea Wolf-1930,The Sea Wolf,1930,tt0021348
Himitsu-1999,Himitsu,1999,tt0211413
El secreto de sus ojos-2009,El secreto de sus ojos,2009,
