,Movie ID Remake,Remake Title,Remake Year,Type Remake,Movie ID Original,Original Title,Original Year,Type Original
77,A Bucket of Blood-1995,A Bucket of Blood,1995,Remake,A Bucket of Blood-1959,A Bucket of Blood,1959,Original
78,Buddy Buddy-1981,Buddy Buddy,1981,Remake,L'Emmerdeur-1973,L'Emmerdeur,1973,Original
79,The Buccaneer-1958,The Buccaneer,1958,Remake,The Buccaneer-1938,The Buccaneer,1938,Original
80,The Burmese Harp-1985,The Burmese Harp,1985,Remake,The Burmese Harp-1956,The Burmese Harp,1956,Original
81,Cabin Fever-2016,Cabin Fever,2016,Remake,Cabin Fever-2002,Cabin Fever,2002,Original
82,The Cabinet of Dr. Caligari-2005,The Cabinet of Dr. Caligari,2005,Remake,The Cabinet of Dr. Caligari-1920,The Cabinet of Dr. Caligari,1920,Original
83,Calling Philo Vance-1940,Calling Philo Vance,1940,Remake,The Kennel Murder Case-1933,The Kennel Murder Case,1933,Original
84,Call of the Wild-2020,Call of the Wild,2020,Remake,The Call of the Wild-1923,The Call of the Wild,1923,Original
85,Cape Fear-1991,Cape Fear,1991,Remake,Cape Fear-1962,Cape Fear,1962,Original
86,The Captain-1971,The Captain,1971,Remake,The Captain's Table-1959,The Captain's Table,1959,Original
87,Carnival of Souls-1998,Carnival of Souls,1998,Remake,Carnival of Souls-1962,Carnival of Souls,1962,Original
88,Carrie-2013,Carrie,2013,Remake,Carrie-1976,Carrie,1976,Original
89,Casino Royale-2006,Casino Royale,2006,Remake,Casino Royale-1954,Casino Royale,1954,Original
90,The Cat and the Canary-1979,The Cat and the Canary,1979,Remake,The Cat and the Canary-1927,The Cat and the Canary,1927,Original
91,Cat People-1982,Cat People,1982,Remake,Cat People-1942,Cat People,1942,Original
92,Carousel-1956,Carousel,1956,Remake,Liliom-1930,Liliom,1930,Original
93,The Champ-1979,The Champ,1979,Remake,The Champ-1931,The Champ,1931,Original
94,Cheaper by the Dozen-2003,Cheaper by the Dozen,2003,Remake,Cheaper by the Dozen-1950,Cheaper by the Dozen,1950,Original
95,Chicago-2002,Chicago,2002,Remake,Chicago-1927,Chicago,1927,Original
96,Child's Play-2019,Child's Play,2019,Remake,Child's Play-1988,Child's Play,1988,Original
97,The Children's Hour-1961,The Children's Hour,1961,Remake,These Three-1936,These Three,1936,Original
98,Chloe-2009,Chloe,2009,Remake,Nathalie...-2004,Nathalie...,2004,Original
99,A Christmas Carol-2009,A Christmas Carol,2009,Remake,"Scrooge, or, Marley's Ghost-1901","Scrooge, or, Marley's Ghost",1901,Original
100,Christmas in Connecticut-1992,Christmas in Connecticut,1992,Remake,Christmas in Connecticut-1945,Christmas in Connecticut,1945,Original
