,Movie ID Remake,Remake Title,Remake Year,Type Remake,Movie ID Original,Original Title,Original Year,Type Original
502,"Shake, Rattle and Rock!-1994","Shake, Rattle and Rock!",1994,Remake,"Shake, Rattle & Rock!-1956","Shake, Rattle & Rock!",1956,Original
503,The Shakiest Gun in the West-1968,The Shakiest Gun in the West,1968,Remake,The Paleface-1948,The Paleface,1948,Original
504,Shall We Dance-2004,Shall We Dance,2004,Remake,Shall We Dansu?-1996,Shall We Dansu?,1996,Original
505,Dr. Nawariyan-2017,Dr. Nawariyan,2017,Remake,Munna Bhai M.B.B.S.-2003,Munna Bhai M.B.B.S.,2003,Original
506,Shankar Dada Zindabad-2007,Shankar Dada Zindabad,2007,Remake,Lage Raho Munna Bhai-2006,Lage Raho Munna Bhai,2006,Original
507,She-1965,She,1965,Remake,She-1935,She,1935,Original
508,The Shining-1997,The Shining,1997,Remake,The Shining-1980,The Shining,1980,Original
509,Shiva-2006,Shiva,2006,Remake,Shiva-1989,Shiva,1989,Original
510,Shortcut to Happiness-2007,Shortcut to Happiness,2007,Remake,The Devil and Daniel Webster-1941,The Devil and Daniel Webster,1941,Original
511,Show Boat-1951,Show Boat,1951,Remake,Show Boat-1929,Show Boat,1929,Original
512,Sideways-2009,Sideways,2009,Remake,Sideways-2004,Sideways,2004,Original
513,Silk Stockings-1957,Silk Stockings,1957,Remake,Ninotchka-1939,Ninotchka,1939,Original
514,The Sign of the Cross-1932,The Sign of the Cross,1932,Remake,The Sign of the Cross-1914,The Sign of the Cross,1914,Original
515,Sleeping Car to Trieste-1948,Sleeping Car to Trieste,1948,Remake,Rome Express-1932,Rome Express,1932,Original
516,So Big-1953,So Big,1953,Remake,So Big-1924,So Big,1924,Original
517,Solaris-2002,Solaris,2002,Remake,Solaris-1968,Solaris,1968,Original
518,Solstice-2008,Solstice,2008,Remake,Midsommer-2003,Midsommer,2003,Original
519,A Song Is Born-1948,A Song Is Born,1948,Remake,Ball of Fire-1941,Ball of Fire,1941,Original
520,Sorcerer-1977,Sorcerer,1977,Remake,Le Salaire de la Peur-1953,Le Salaire de la Peur,1953,Original
521,Sorority Row-2009,Sorority Row,2009,Remake,The House on Sorority Row-1983,The House on Sorority Row,1983,Original
522,The Sound and the Fury-2014,The Sound and the Fury,2014,Remake,The Sound and the Fury-1959,The Sound and the Fury,1959,Original
523,Spring Parade-1940,Spring Parade,1940,Remake,Spring Parade-1934,Spring Parade,1934,Original
524,Springtime in a Small Town-2002,Springtime in a Small Town,2002,Remake,Spring in a Small Town-1948,Spring in a Small Town,1948,Original
525,The Squaw Man-1931,The Squaw Man,1931,Remake,The Squaw Man-1914,The Squaw Man,1914,Original
526,Stage Struck-1958,Stage Struck,1958,Remake,Morning Glory-1933,Morning Glory,1933,Original
527,Stagecoach-1986,Stagecoach,1986,Remake,Stagecoach-1939,Stagecoach,1939,Original
528,A Star Is Born-2018,A Star Is Born,2018,Remake,A Star Is Born-1937,A Star Is Born,1937,Original
529,State Fair-1962,State Fair,1962,Remake,State Fair-1933,State Fair,1933,Original
530,The Stepfather-2009,The Stepfather,2009,Remake,The Stepfather-1987,The Stepfather,1987,Original
531,The Stepford Wives-2004,The Stepford Wives,2004,Remake,The Stepford Wives-1975,The Stepford Wives,1975,Original
532,Stolen Hours-1963,Stolen Hours,1963,Remake,Dark Victory-1939,Dark Victory,1939,Original
533,Straw Dogs-2011,Straw Dogs,2011,Remake,Straw Dogs-1971,Straw Dogs,1971,Original
534,The Student of Prague-1935,The Student of Prague,1935,Remake,The Student of Prague-1913,The Student of Prague,1913,Original
535,The Sun Shines Bright-1953,The Sun Shines Bright,1953,Remake,Judge Priest-1934,Judge Priest,1934,Original
536,The Sunshine Boys-1996,The Sunshine Boys,1996,Remake,The Sunshine Boys-1975,The Sunshine Boys,1975,Original
537,Svengali-1983,Svengali,1983,Remake,Svengali-1931,Svengali,1931,Original
538,The Swan-1956,The Swan,1956,Remake,The Swan-1925,The Swan,1925,Original
539,Sweet 20-2015,Sweet 20,2015,Remake,Miss Granny-2014,Miss Granny,2014,Original
540,Sweet November-2001,Sweet November,2001,Remake,Sweet November-1968,Sweet November,1968,Original
541,Swept Away-2002,Swept Away,2002,Remake,Swept Away by an Unusual Destiny in the Blue Sea of August-1974,Swept Away by an Unusual Destiny in the Blue Sea of August,1974,Original
542,Switching Channels-1988,Switching Channels,1988,Remake,The Front Page-1931,The Front Page,1931,Original
543,The Taking of Pelham 1 2 3-2009,The Taking of Pelham 1 2 3,2009,Remake,Taking of Pelham One Two Three-1974,Taking of Pelham One Two Three,1974,Original
544,"Tarzan, the Ape Man-1959","Tarzan, the Ape Man",1959,Remake,Tarzan the Ape Man-1932,Tarzan the Ape Man,1932,Original
545,Taxi-2004,Taxi,2004,Remake,Taxi-1998,Taxi,1998,Original
546,The Texas Chainsaw Massacre-2003,The Texas Chainsaw Massacre,2003,Remake,The Texas Chain Saw Massacre-1974,The Texas Chain Saw Massacre,1974,Original
547,That Darn Cat-1997,That Darn Cat,1997,Remake,That Darn Cat!-1965,That Darn Cat!,1965,Original
548,The Thief of Baghdad-1978,The Thief of Baghdad,1978,Remake,Thief of Bagdad-1924,Thief of Bagdad,1924,Original
549,Thieves Like Us-1974,Thieves Like Us,1974,Remake,They Live by Night-1948,They Live by Night,1948,Original
550,The 39 Steps-2008,The 39 Steps,2008,Remake,The 39 Steps-1935,The 39 Steps,1935,Original
551,Yamato Takeru-1994,Yamato Takeru,1994,Remake,The Birth of Japan-1959,The Birth of Japan,1959,Original
552,The Thing-1982,The Thing,1982,Remake,The Thing from Another World-1951,The Thing from Another World,1951,Original
553,The Thirteenth Floor-1999,The Thirteenth Floor,1999,Remake,Welt am Draht-1973,Welt am Draht,1973,Original
554,Thirteen Ghosts-2001,Thirteen Ghosts,2001,Remake,13 Ghosts-1960,13 Ghosts,1960,Original
555,The Thomas Crown Affair-1999,The Thomas Crown Affair,1999,Remake,The Thomas Crown Affair-1968,The Thomas Crown Affair,1968,Original
556,Three Fugitives-1989,Three Fugitives,1989,Remake,Les Fugitifs-1986,Les Fugitifs,1986,Original
557,The Three Musketeers-2011,The Three Musketeers,2011,Remake,The Three Musketeers-1921,The Three Musketeers,1921,Original
558,The Time Machine-2002,The Time Machine,2002,Remake,The Time Machine-1960,The Time Machine,1960,Original
559,To Be or Not to Be-1983,To Be or Not to Be,1983,Remake,To Be or Not to Be-1942,To Be or Not to Be,1942,Original
560,Too Good to Be True-1988,Too Good to Be True,1988,Remake,Leave Her to Heaven-1945,Leave Her to Heaven,1945,Original
561,Toolbox Murders-2004,Toolbox Murders,2004,Remake,The Toolbox Murders-1978,The Toolbox Murders,1978,Original
562,Tortilla Soup-2001,Tortilla Soup,2001,Remake,Eat Drink Man Woman-1994,Eat Drink Man Woman,1994,Original
563,Total Recall-2012,Total Recall,2012,Remake,Total Recall-1990,Total Recall,1990,Original
564,Tom Brown's Schooldays-2005,Tom Brown's Schooldays,2005,Remake,Tom Brown's Schooldays-1916,Tom Brown's Schooldays,1916,Original
565,Tom Sawyer & Huckleberry Finn-2014,Tom Sawyer & Huckleberry Finn,2014,Remake,Tom Sawyer-1917,Tom Sawyer,1917,Original
566,The Tourist-2010,The Tourist,2010,Remake,Anthony Zimmer-2005,Anthony Zimmer,2005,Original
567,Tower of London-1962,Tower of London,1962,Remake,Tower of London-1939,Tower of London,1939,Original
568,The Toy-1982,The Toy,1982,Remake,Le Jouet-1976,Le Jouet,1976,Original
569,Trader Horn-1973,Trader Horn,1973,Remake,Trader Horn-1931,Trader Horn,1931,Original
570,Treasure Island-2012,Treasure Island,2012,Remake,Treasure Island-1920,Treasure Island,1920,Original
571,True Grit-2010,True Grit,2010,Remake,True Grit-1969,True Grit,1969,Original
572,True Lies-1994,True Lies,1994,Remake,La Totale!-1991,La Totale!,1991,Original
573,The Truth About Charlie-2002,The Truth About Charlie,2002,Remake,Charade-1963,Charade,1963,Original
574,Two Much-1996,Two Much,1996,Remake,Le jumeau-1984,Le jumeau,1984,Original
575,Under Capricorn-1983,Under Capricorn,1983,Remake,Under Capricorn-1949,Under Capricorn,1949,Original
576,Under Suspicion-2000,Under Suspicion,2000,Remake,Garde à vue-1981,Garde à vue,1981,Original
577,The Underneath-1995,The Underneath,1995,Remake,Criss Cross-1949,Criss Cross,1949,Original
578,Ganda Hendathi-2006,Ganda Hendathi,2006,Remake,La femme infidèle-1969,La femme infidèle,1969,Original
579,Unfaithfully Yours-1984,Unfaithfully Yours,1984,Remake,Unfaithfully Yours-1948,Unfaithfully Yours,1948,Original
580,The Unfaithful-1947,The Unfaithful,1947,Remake,The Letter-1929,The Letter,1929,Original
581,The Unholy Three-1930,The Unholy Three,1930,Remake,The Unholy Three-1925,The Unholy Three,1925,Original
582,The Unknown Soldier-1985,The Unknown Soldier,1985,Remake,The Unknown Soldier-1955,The Unknown Soldier,1955,Original
583,The Upside-2019,The Upside,2019,Remake,The Intouchables-2011,The Intouchables,2011,Original
584,Vanilla Sky-2001,Vanilla Sky,2001,Remake,Abre Los Ojos-1997,Abre Los Ojos,1997,Original
585,The Vanishing-1993,The Vanishing,1993,Remake,Spoorloos-1988,Spoorloos,1988,Original
586,Vanishing Point-1997,Vanishing Point,1997,Remake,Vanishing Point-1971,Vanishing Point,1971,Original
587,Vanity Fair-2018,Vanity Fair,2018,Remake,Vanity Fair-1915,Vanity Fair,1915,Original
588,Victor Frankenstein-2015,Victor Frankenstein,2015,Remake,Frankenstein-1931,Frankenstein,1931,Original
589,Victor/Victoria-1982,Victor/Victoria,1982,Remake,Viktor und Viktoria-1933,Viktor und Viktoria,1933,Original
590,Village of the Damned-1995,Village of the Damned,1995,Remake,Village of the Damned-1960,Village of the Damned,1960,Original
591,The Virginian-1946,The Virginian,1946,Remake,The Virginian-1914,The Virginian,1914,Original
592,Walk Don't Run-1966,Walk Don't Run,1966,Remake,The More the Merrier-1943,The More the Merrier,1943,Original
593,A Walk in the Clouds-1995,A Walk in the Clouds,1995,Remake,Sous le ciel de Provence-1956,Sous le ciel de Provence,1956,Original
594,Walking Tall-2004,Walking Tall,2004,Remake,Walking Tall-1973,Walking Tall,1973,Original
595,The War of the Worlds-2019,The War of the Worlds,2019,Remake,The War of the Worlds-1953,The War of the Worlds,1953,Original
596,Web of the Spider-1971,Web of the Spider,1971,Remake,Castle of Blood-1964,Castle of Blood,1964,Original
597,We Are Family-2010,We Are Family,2010,Remake,Stepmom-1998,Stepmom,1998,Original
598,Welcome to Collinwood-2002,Welcome to Collinwood,2002,Remake,Big Deal on Madonna Street-1958,Big Deal on Madonna Street,1958,Original
599,We're No Angels-1989,We're No Angels,1989,Remake,We're No Angels-1955,We're No Angels,1955,Original
600,What a Girl Wants-2003,What a Girl Wants,2003,Remake,The Reluctant Debutante-1958,The Reluctant Debutante,1958,Original
601,When a Stranger Calls-2006,When a Stranger Calls,2006,Remake,When a Stranger Calls-1979,When a Stranger Calls,1979,Original
602,What Ever Happened to Baby Jane?-1991,What Ever Happened to Baby Jane?,1991,Remake,What Ever Happened to Baby Jane?-1962,What Ever Happened to Baby Jane?,1962,Original
603,What Men Want-2019,What Men Want,2019,Remake,What Women Want-2000,What Women Want,2000,Original
604,Where the Boys Are '84-1984,Where the Boys Are '84,1984,Remake,Where the Boys Are-1960,Where the Boys Are,1960,Original
605,The Wicked Lady-1983,The Wicked Lady,1983,Remake,The Wicked Lady-1945,The Wicked Lady,1945,Original
606,The Wicker Man-2006,The Wicker Man,2006,Remake,The Wicker Man-1973,The Wicker Man,1973,Original
607,Wicker Park-2004,Wicker Park,2004,Remake,L'Appartement-1996,L'Appartement,1996,Original
608,Willard-2003,Willard,2003,Remake,Willard-1971,Willard,1971,Original
609,The Winslow Boy-1999,The Winslow Boy,1999,Remake,The Winslow Boy-1948,The Winslow Boy,1948,Original
610,The Witness-2015,The Witness,2015,Remake,Blind-2011,Blind,2011,Original
611,The Wiz-1978,The Wiz,1978,Remake,The Wizard of Oz-1925,The Wizard of Oz,1925,Original
612,The Witness for the Prosecution-2016,The Witness for the Prosecution,2016,Remake,Witness for the Prosecution-1957,Witness for the Prosecution,1957,Original
613,The Wolfman-2010,The Wolfman,2010,Remake,The Wolf Man-1941,The Wolf Man,1941,Original
614,The Woman in Black-2012,The Woman in Black,2012,Remake,The Woman in Black-1989,The Woman in Black,1989,Original
615,The Woman in Red-1984,The Woman in Red,1984,Remake,Un éléphant ça trompe énormément-1976,Un éléphant ça trompe énormément,1976,Original
616,The Woman in White-2018,The Woman in White,2018,Remake,Crimes at the Dark House-1940,Crimes at the Dark House,1940,Original
617,The Women-2008,The Women,2008,Remake,The Women-1939,The Women,1939,Original
618,The Yellow Handkerchief-2010,The Yellow Handkerchief,2010,Remake,The Yellow Handkerchief-1977,The Yellow Handkerchief,1977,Original
619,Yogi-2007,Yogi,2007,Remake,Jogi-2005,Jogi,2005,Original
620,You Can't Run Away from It-1956,You Can't Run Away from It,1956,Remake,It Happened One Night-1934,It Happened One Night,1934,Original
621,"Yours, Mine and Ours-2005","Yours, Mine and Ours",2005,Remake,"Yours, Mine and Ours-1968","Yours, Mine and Ours",1968,Original
622,You're Never Too Young-1955,You're Never Too Young,1955,Remake,The Major and the Minor-1942,The Major and the Minor,1942,Original
623,You've Got Mail-1998,You've Got Mail,1998,Remake,The Shop Around the Corner-1940,The Shop Around the Corner,1940,Original
