Movie ID,Remake Title,Remake Year,Remake IMDb ID
Easy Virtue-2008,Easy Virtue,2008,tt0808244
The Echo-2008,The Echo,2008,tt0897347
EDtv-1999,EDtv,1999,
Ellam Avan Seyal-2008,Ellam Avan Seyal,2008,tt6448784
Endless Love-2014,Endless Love,2014,tt2318092
Escapade-1935,Escapade,1935,tt0026319
Evil Dead-2013,Evil Dead,2013,tt1288558
The Eye-2008,The Eye,2008,tt0406759
Excursion to the Moon-1908,Excursion to the Moon,1908,tt0449252
Exodus: Gods and Kings-2014,Exodus: Gods and Kings,2014,tt1528100
The Experiment-2010,The Experiment,2010,tt0997152
Fame-2009,Fame,2009,tt1016075
"Farewell, My Lovely-1975","Farewell, My Lovely",1975,tt0072973
The Farmer Takes a Wife-1953,The Farmer Takes a Wife,1953,tt0045752
The Farmer's Wife-1941,The Farmer's Wife,1941,tt0033590
Fatal Attraction-1987,Fatal Attraction,1987,tt0093010
Father of the Bride-1991,Father of the Bride,1991,tt0101862
Father of the Bride Part II-1995,Father of the Bride Part II,1995,tt0113041
Fathers' Day-1997,Fathers' Day,1997,tt0119109
Fancy Pants-1950,Fancy Pants,1950,tt0042447
FC Venus-2006,FC Venus,2006,tt0487027
The Fiend Who Walked the West-1958,The Fiend Who Walked the West,1958,tt0051612
The Firm-2009,The Firm,2009,tt1313113
A Fistful of Dollars/Per un pugno di dollari-1964,A Fistful of Dollars/Per un pugno di dollari,1964,
Back from Eternity-1956,Back from Eternity,1956,tt0048975
Flatliners-2017,Flatliners,2017,tt2039338
Fled-1996,Fled,1996,tt0116320
Flight of the Phoenix-2004,Flight of the Phoenix,2004,tt0377062
Flipper-1996,Flipper,1996,tt0116322
Floating Weeds-1959,Floating Weeds,1959,tt0053390
Flubber-1997,Flubber,1997,tt0119137
The Fly-1986,The Fly,1986,tt0091064
The Fog-2005,The Fog,2005,tt0432291
Footloose-2011,Footloose,2011,tt1068242
Forbidden Fruit-1921,Forbidden Fruit,1921,tt0012187
Fortunes of Captain Blood-1950,Fortunes of Captain Blood,1950,tt0042474
Freaky Friday-2018,Freaky Friday,2018,tt7631348
Frenchman's Creek-1998,Frenchman's Creek,1998,tt0179817
Friday the 13th-2009,Friday the 13th,2009,tt0758746
Fright Night-2011,Fright Night,2011,tt1438176
The Front Page-1974,The Front Page,1974,tt0071524
Fun with Dick and Jane-2005,Fun with Dick and Jane,2005,tt0369441
Funny Games-2008,Funny Games,2008,
Gaby-1956,Gaby,1956,tt0049247
Gambit-2012,Gambit,2012,tt0404978
The Gambler-2014,The Gambler,2014,tt2039393
Gaslight-1944,Gaslight,1944,tt0036855
Get Carter-2000,Get Carter,2000,tt0208988
The Getaway-1994,The Getaway,1994,tt0109890
Geronimo-1939,Geronimo,1939,tt0031365
Gharshana-2004,Gharshana,2004,tt0475591
Ghostbusters-2016,Ghostbusters,2016,tt1289401
Ghost Theater-2015,Ghost Theater,2015,tt4289298
Gloria-1999,Gloria,1999,tt0120683
Godzilla-1998,Godzilla,1998,tt0120685
Going in Style-2017,Going in Style,2017,tt2568862
Gone in 60 Seconds-2000,Gone in 60 Seconds,2000,tt0187078
The Good Companions-1957,The Good Companions,1957,tt0050450
Good Morning-1959,Good Morning,1959,tt0053134
The Goodbye Girl-2004,The Goodbye Girl,2004,tt0377990
"Goodbye, Mr. Chips-1969","Goodbye, Mr. Chips",1969,tt0064382
The Great Gatsby-2013,The Great Gatsby,2013,tt1343092
Great Expectations-2012,Great Expectations,2012,tt1836808
The Great Waltz-1972,The Great Waltz,1972,tt0068662
The Gun Runners-1958,The Gun Runners,1958,tt0051687
Guess Who-2005,Guess Who,2005,tt0372237
Gulliver's Travels-2010,Gulliver's Travels,2010,tt1320261
Halloween-2007,Halloween,2007,tt0373883
The Hand-1981,The Hand,1981,tt0082497
The Hands of Orlac-1960,The Hands of Orlac,1960,tt0054963
Happy New Year-1987,Happy New Year,1987,tt0093145
Hara-Kiri: Death of a Samurai-2011,Hara-Kiri: Death of a Samurai,2011,tt1728196
Harriet Craig-1950,Harriet Craig,1950,tt0042544
The Hasty Heart-1983,The Hasty Heart,1983,tt0085650
The Haunting-1999,The Haunting,1999,tt0171363
Head Above Water-1996,Head Above Water,1996,tt0116502
The Heartbreak Kid-2007,The Heartbreak Kid,2007,tt0408839
Heart of Darkness-1993,Heart of Darkness,1993,tt0110002
Heat-1995,Heat,1995,tt0113277
High Noon-2000,High Noon,2000,tt0244536
High Society-1956,High Society,1956,tt0049314
The Hills Have Eyes-2006,The Hills Have Eyes,2006,tt0454841
The Hitcher-2007,The Hitcher,2007,tt0455960
Holiday-1938,Holiday,1938,tt0030241
Homeward Bound: The Incredible Journey-1993,Homeward Bound: The Incredible Journey,1993,tt0107131
The Horn Blows at Midnight-1953,The Horn Blows at Midnight,1953,
The Hound of the Baskervilles-2002,The Hound of the Baskervilles,2002,tt0322622
